"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
86,1,13,18,270,4,5,99,99,99,999,1000.4,4.4,3.5,999,99
86,1,13,19,280,3,3,99,99,99,999,999.8,4.7,3.6,999,99
86,1,13,20,250,2,3,99,99,99,999,999.9,5,3.6,999,99
86,1,13,21,210,2,2,99,99,99,999,999.8,5.8,3.6,999,99
86,1,13,22,280,5,6,99,99,99,999,999.8,5.1,3.6,999,99
86,1,13,23,290,4,5,99,99,99,999,999.7,4.7,3.5,999,99
86,1,14,0,310,9,11,99,99,99,999,999.6,3.4,3.4,999,99
86,1,14,1,310,11,14,99,99,99,999,999.8,1.3,3.4,999,99
86,1,14,2,300,12,14,99,99,99,999,1000.6,0,3.5,999,99
86,1,14,3,310,13,15,99,99,99,999,999.5,-1.4,3.6,999,99
86,1,14,4,310,11,14,99,99,99,999,1000.4,-3.1,3.7,999,99
86,1,14,5,310,11,13,99,99,99,999,1001,-5,3.8,999,99
86,1,14,6,300,10,15,99,99,99,999,1001.6,-6.4,3.9,999,99
86,1,14,7,310,11,14,99,99,99,999,1002.7,-8,3.9,999,99
86,1,14,8,310,11,13,99,99,99,999,1003.3,-8.3,4,999,99
86,1,14,9,300,12,15,99,99,99,999,1003.9,-8.8,3.9,999,99
86,1,14,10,310,13,16,99,99,99,999,1005.1,-10.1,3.9,999,99
86,1,14,11,310,12,15,99,99,99,999,1006.2,-11.2,3.9,999,99
86,1,14,12,310,12,15,99,99,99,999,1007,-11.6,3.9,999,99
86,1,14,13,310,11,13,99,99,99,999,1008.2,-12.1,3.9,999,99
86,1,14,14,310,11,14,99,99,99,999,1009,-12.1,3.8,999,99
86,1,14,15,310,9,12,99,99,99,999,1009.9,-11.8,4,999,99
86,1,14,16,300,9,12,99,99,99,999,1009.5,-10.8,4.1,999,99
86,1,14,17,310,10,13,99,99,99,999,1009.1,-10.8,3.9,999,99
86,1,14,18,290,10,12,99,99,99,999,1008.9,-10.8,3.9,999,99
86,1,14,19,300,10,13,99,99,99,999,1008.9,-10.7,4.1,999,99
86,1,14,20,300,10,12,99,99,99,999,1009.8,-10.6,4.1,999,99
86,1,14,21,290,8,11,99,99,99,999,1010.7,-10.8,4.2,999,99
86,1,14,22,300,9,12,99,99,99,999,1011.4,-11.2,4.1,999,99
86,1,14,23,290,11,13,99,99,99,999,1012.2,-11.2,4,999,99
86,1,15,0,300,10,13,99,99,99,999,1013,-11.5,4,999,99
86,1,15,1,300,10,14,99,99,99,999,1013.8,-11.5,4.1,999,99
