Higher classification,Order,Family,Common Name,Genus,Species,Body Temperature (C),Body Mass (g),Basal Metabolic Rate (W),Air temperature (C)
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Antechinus,flavipes,35,46.5,0.252,15.51427406
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,ochrogaster,37.9,46.7,0.441,8.252154624
Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys,ordii,34.6,46.8,0.358,11.14188996
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Lemniscomys,griselda,36.9,47.5,0.321,21.10225451
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,californicus,36.4,47.6,0.292,10.80556207
Euarchontoglires,Soricomorpha,Talpidae,Moles,Scalopus,aquaticus,36,48,0.378,13.6494518
Euarchontoglires,Rodentia,Heteromyidae,*,Liomys,irroratus,37,48.1,0.301,18.12422523
Euarchontoglires,Soricomorpha,Talpidae,Moles,Condylura,cristata,37.7,49,0.615,3.427820631
Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus,edwardii,37.6,50,0.304,14.24010309
Euarchontoglires,Rodentia,Cricetidae,*,Calomys,callosus,*,50.1,0.395,21.65422481
Euarchontoglires,Rodentia,Cricetidae,*,Calomys,venustus,37.1,50.1,0.40255,*
Euarchontoglires,Rodentia,Cricetidae,*,Lemmus,sibiricus,38.3,50.2,0.503,-9.431598297
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Lemniscomys,rosalia,36.5,50.53,0.343,20.58852628
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Eonycteris,spelaea,34,51.6,0.268,18.35540816
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,townsendii,*,52.2,0.504,6.229174564
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus,perpallidus,*,52.4,0.243,17.46965251
